# t/tauB	proportion
1.799111111111111086e+03 2.690059999999999674e-01
1.805777777777777828e+03 2.733970000000000011e-01
1.812444444444444343e+03 2.754739999999999966e-01
1.819111111111111086e+03 2.772189999999999932e-01
1.825777777777777828e+03 2.774079999999999879e-01
1.832444444444444343e+03 2.803289999999999949e-01
1.839111111111111086e+03 2.764969999999999928e-01
1.845777777777777828e+03 2.768929999999999447e-01
1.852444444444444343e+03 2.783339999999999703e-01
1.859111111111111086e+03 2.832199999999999718e-01
1.865777777777777828e+03 2.840399999999999592e-01
1.872444444444444343e+03 2.852900000000000436e-01
1.879111111111111086e+03 2.873719999999999608e-01
1.885777777777777828e+03 2.891830000000000234e-01
1.892444444444444343e+03 2.922620000000000218e-01
1.899111111111111086e+03 2.914839999999999653e-01
1.905777777777777828e+03 2.926050000000000040e-01
1.912444444444444343e+03 2.981709999999999638e-01
1.919111111111111086e+03 3.011240000000000028e-01
1.925777777777777828e+03 2.990099999999999980e-01
1.932444444444444343e+03 2.997489999999999877e-01
1.939111111111111086e+03 3.020470000000000099e-01
1.945777777777777828e+03 3.032249999999999668e-01
1.952444444444444343e+03 3.078199999999999825e-01
1.959111111111111086e+03 3.102079999999999838e-01
1.965777777777777828e+03 3.066280000000000117e-01
1.972444444444444343e+03 3.124439999999999995e-01
1.979111111111111086e+03 3.128349999999999742e-01
1.985777777777777828e+03 3.159759999999999791e-01
1.992444444444444343e+03 3.182590000000000141e-01
1.999111111111111086e+03 3.202110000000000234e-01
2.005777777777777828e+03 3.202619999999999911e-01
2.012444444444444343e+03 3.192920000000000202e-01
2.019111111111111086e+03 3.197559999999999847e-01
2.025777777777777828e+03 3.219429999999999792e-01
2.032444444444444343e+03 3.228320000000000078e-01
2.039111111111111086e+03 3.220480000000000009e-01
2.045777777777777828e+03 3.234739999999999838e-01
2.052444444444444343e+03 3.228239999999999998e-01
2.059111111111111313e+03 3.255529999999999813e-01
2.065777777777777828e+03 3.264630000000000032e-01
2.072444444444444343e+03 3.280729999999999480e-01
2.079111111111111313e+03 3.268969999999999931e-01
2.085777777777777828e+03 3.242360000000000242e-01
2.092444444444444343e+03 3.241030000000000300e-01
2.099111111111111313e+03 3.297160000000000091e-01
2.105777777777777828e+03 3.304829999999999712e-01
2.112444444444444343e+03 3.333500000000000352e-01
2.119111111111111313e+03 3.327189999999999870e-01
2.125777777777777828e+03 3.361540000000000084e-01
2.132444444444444343e+03 3.362399999999999833e-01
2.139111111111111313e+03 3.360879999999999423e-01
2.145777777777777828e+03 3.415329999999999755e-01
2.152444444444444343e+03 3.366890000000000160e-01
2.159111111111111313e+03 3.428400000000000336e-01
2.165777777777777828e+03 3.445290000000000297e-01
2.172444444444444343e+03 3.447799999999999754e-01
2.179111111111111313e+03 3.432490000000000263e-01
2.185777777777777828e+03 3.464080000000000492e-01
2.192444444444444343e+03 3.484479999999999800e-01
2.199111111111111313e+03 3.476430000000000353e-01
2.205777777777777828e+03 3.477859999999999840e-01
2.212444444444444343e+03 3.471499999999999586e-01
2.219111111111111313e+03 3.549219999999999597e-01
2.225777777777777828e+03 3.526909999999999767e-01
2.232444444444444343e+03 3.561670000000000114e-01
2.239111111111111313e+03 3.583579999999999544e-01
2.245777777777777828e+03 3.587529999999999886e-01
2.252444444444444343e+03 3.584379999999999789e-01
2.259111111111111313e+03 3.610820000000000141e-01
2.265777777777777828e+03 3.630700000000000038e-01
2.272444444444444343e+03 3.593410000000000215e-01
2.279111111111111313e+03 3.640550000000000175e-01
2.285777777777777828e+03 3.647099999999999786e-01
2.292444444444444343e+03 3.659810000000000008e-01
2.299111111111111313e+03 3.651409999999999934e-01
2.305777777777777828e+03 3.700109999999999788e-01
2.312444444444444343e+03 3.692199999999999926e-01
2.319111111111111313e+03 3.687570000000000014e-01
2.325777777777777828e+03 3.710139999999999549e-01
2.332444444444444343e+03 3.698270000000000168e-01
2.339111111111111313e+03 3.732030000000000070e-01
2.345777777777777828e+03 3.703899999999999970e-01
2.352444444444444343e+03 3.755490000000000217e-01
2.359111111111111313e+03 3.738920000000000021e-01
2.365777777777777828e+03 3.716580000000000439e-01
2.372444444444444343e+03 3.737880000000000091e-01
2.379111111111111313e+03 3.763189999999999591e-01
2.385777777777777828e+03 3.780900000000000372e-01
2.392444444444444343e+03 3.764859999999999873e-01
2.399111111111111313e+03 3.786970000000000058e-01
2.405777777777777828e+03 3.803109999999999546e-01
2.412444444444444343e+03 3.820350000000000135e-01
2.419111111111111313e+03 3.792099999999999915e-01
2.425777777777777828e+03 3.797270000000000367e-01
2.432444444444444343e+03 3.837890000000000468e-01
2.439111111111111313e+03 3.840099999999999625e-01
2.445777777777777828e+03 3.843149999999999622e-01
2.452444444444444343e+03 3.855739999999999723e-01
2.459111111111111313e+03 3.909819999999999962e-01
2.465777777777777828e+03 3.913470000000000004e-01
2.472444444444444343e+03 3.928699999999999970e-01
2.479111111111111313e+03 3.928169999999999717e-01
2.485777777777777828e+03 3.942930000000000046e-01
2.492444444444444343e+03 3.931410000000000182e-01
2.499111111111111313e+03 3.964389999999999858e-01
2.505777777777777828e+03 3.918690000000000229e-01
2.512444444444444343e+03 3.952100000000000057e-01
2.519111111111111313e+03 3.965389999999999748e-01
2.525777777777777828e+03 3.943150000000000266e-01
2.532444444444444343e+03 3.953409999999999425e-01
2.539111111111111313e+03 3.972149999999999848e-01
2.545777777777777828e+03 3.948990000000000000e-01
2.552444444444444343e+03 3.956060000000000132e-01
2.559111111111111313e+03 3.972870000000000013e-01
2.565777777777777828e+03 3.998220000000000107e-01
2.572444444444444343e+03 3.987469999999999626e-01
2.579111111111111313e+03 3.979810000000000292e-01
2.585777777777777828e+03 3.960949999999999749e-01
2.592444444444444343e+03 3.987819999999999698e-01
2.599111111111111313e+03 4.008310000000000484e-01
2.605777777777777828e+03 3.996219999999999772e-01
2.612444444444444343e+03 4.011139999999999706e-01
2.619111111111111313e+03 3.995849999999999680e-01
2.625777777777777828e+03 4.004360000000000142e-01
2.632444444444444343e+03 4.019880000000000120e-01
2.639111111111111313e+03 4.015460000000000140e-01
2.645777777777777828e+03 4.041720000000000312e-01
2.652444444444444343e+03 4.049619999999999886e-01
2.659111111111111313e+03 4.051239999999999841e-01
2.665777777777777828e+03 4.059289999999999843e-01
2.672444444444444343e+03 4.036830000000000140e-01
2.679111111111111313e+03 4.036819999999999853e-01
2.685777777777777828e+03 4.056040000000000201e-01
2.692444444444444343e+03 4.061190000000000078e-01
2.699111111111111313e+03 4.081089999999999995e-01
2.705777777777777828e+03 4.097439999999999971e-01
2.712444444444444343e+03 4.087189999999999990e-01
2.719111111111111313e+03 4.139700000000000046e-01
2.725777777777777828e+03 4.154760000000000120e-01
2.732444444444444343e+03 4.142120000000000246e-01
2.739111111111111313e+03 4.143419999999999881e-01
2.745777777777777828e+03 4.145020000000000371e-01
2.752444444444444343e+03 4.166259999999999963e-01
2.759111111111111313e+03 4.137140000000000262e-01
2.765777777777777828e+03 4.172280000000000433e-01
2.772444444444444343e+03 4.172519999999999563e-01
2.779111111111111313e+03 4.185130000000000239e-01
2.785777777777777828e+03 4.173179999999999668e-01
2.792444444444444343e+03 4.189549999999999663e-01
2.799111111111111313e+03 4.205200000000000049e-01
2.805777777777777828e+03 4.244830000000000547e-01
2.812444444444444343e+03 4.240279999999999605e-01
2.819111111111111313e+03 4.267560000000000242e-01
2.825777777777777828e+03 4.233390000000000208e-01
2.832444444444444343e+03 4.254430000000000156e-01
2.839111111111111313e+03 4.286710000000000242e-01
2.845777777777777828e+03 4.249890000000000057e-01
2.852444444444444343e+03 4.283520000000000660e-01
2.859111111111111313e+03 4.257370000000000321e-01
2.865777777777777828e+03 4.232000000000000206e-01
2.872444444444444343e+03 4.253149999999999986e-01
2.879111111111111313e+03 4.219240000000000212e-01
2.885777777777777828e+03 4.263599999999999612e-01
2.892444444444444343e+03 4.261119999999999908e-01
2.899111111111111313e+03 4.295759999999999579e-01
2.905777777777777828e+03 4.294550000000000312e-01
2.912444444444444343e+03 4.310010000000000230e-01
2.919111111111111313e+03 4.323110000000000008e-01
2.925777777777777828e+03 4.346360000000000223e-01
2.932444444444444343e+03 4.322000000000000286e-01
2.939111111111111313e+03 4.340960000000000374e-01
2.945777777777777828e+03 4.342210000000000236e-01
2.952444444444444343e+03 4.346849999999999881e-01
2.959111111111111313e+03 4.341869999999999896e-01
2.965777777777777828e+03 4.318619999999999681e-01
2.972444444444444343e+03 4.342110000000000136e-01
2.979111111111111313e+03 4.375999999999999890e-01
2.985777777777777828e+03 4.353899999999999992e-01
2.992444444444444343e+03 4.328429999999999778e-01
2.999111111111111313e+03 4.366659999999999986e-01
3.005777777777777828e+03 4.389119999999999688e-01
3.012444444444444343e+03 4.404399999999999982e-01
3.019111111111111313e+03 4.400650000000000395e-01
3.025777777777777828e+03 4.413920000000000066e-01
3.032444444444444343e+03 4.429349999999999676e-01
3.039111111111111313e+03 4.483949999999999880e-01
3.045777777777777828e+03 4.470210000000000017e-01
3.052444444444444343e+03 4.437989999999999990e-01
3.059111111111111313e+03 4.412960000000000216e-01
3.065777777777777828e+03 4.460029999999999828e-01
3.072444444444444343e+03 4.487649999999999695e-01
3.079111111111111313e+03 4.467879999999999630e-01
3.085777777777777828e+03 4.490129999999999955e-01
3.092444444444444343e+03 4.507210000000000383e-01
3.099111111111111313e+03 4.449130000000000029e-01
3.105777777777777828e+03 4.469649999999999457e-01
3.112444444444444343e+03 4.492079999999999962e-01
3.119111111111111313e+03 4.506519999999999970e-01
3.125777777777777828e+03 4.465950000000000197e-01
3.132444444444444343e+03 4.495999999999999996e-01
3.139111111111111313e+03 4.518550000000000066e-01
3.145777777777777828e+03 4.535730000000000040e-01
3.152444444444444343e+03 4.511080000000000090e-01
3.159111111111111313e+03 4.545089999999999963e-01
3.165777777777777828e+03 4.509079999999999755e-01
3.172444444444444343e+03 4.502410000000000023e-01
3.179111111111111313e+03 4.489259999999999917e-01
3.185777777777777828e+03 4.501739999999999631e-01
3.192444444444444343e+03 4.533169999999999700e-01
3.199111111111111313e+03 4.514880000000000004e-01
3.205777777777777828e+03 4.515059999999999629e-01
3.212444444444444343e+03 4.534059999999999757e-01
3.219111111111111313e+03 4.525790000000000091e-01
3.225777777777777828e+03 4.519480000000000164e-01
3.232444444444444343e+03 4.560520000000000129e-01
3.239111111111111313e+03 4.554860000000000575e-01
3.245777777777777828e+03 4.555710000000000037e-01
3.252444444444444343e+03 4.553190000000000293e-01
3.259111111111111313e+03 4.557479999999999865e-01
3.265777777777777828e+03 4.590180000000000371e-01
3.272444444444444343e+03 4.596919999999999895e-01
3.279111111111111313e+03 4.607930000000000081e-01
3.285777777777777828e+03 4.623579999999999912e-01
3.292444444444444343e+03 4.621640000000000192e-01
3.299111111111111313e+03 4.638170000000000348e-01
3.305777777777777828e+03 4.647529999999999717e-01
3.312444444444444343e+03 4.642809999999999993e-01
3.319111111111111313e+03 4.639539999999999775e-01
3.325777777777777828e+03 4.636440000000000006e-01
3.332444444444444343e+03 4.663319999999999688e-01
3.339111111111111313e+03 4.636280000000000401e-01
3.345777777777777828e+03 4.603820000000000134e-01
3.352444444444444343e+03 4.628780000000000117e-01
3.359111111111111313e+03 4.627799999999999692e-01
3.365777777777777828e+03 4.653639999999999999e-01
3.372444444444444343e+03 4.643780000000000130e-01
3.379111111111111313e+03 4.676109999999999989e-01
3.385777777777777828e+03 4.663190000000000390e-01
3.392444444444444343e+03 4.653119999999999479e-01
3.399111111111111313e+03 4.673089999999999744e-01
3.405777777777777828e+03 4.681849999999999623e-01
3.412444444444444343e+03 4.683929999999999483e-01
3.419111111111111313e+03 4.685619999999999785e-01
3.425777777777777828e+03 4.694519999999999804e-01
3.432444444444444343e+03 4.707050000000000400e-01
3.439111111111111313e+03 4.685989999999999878e-01
3.445777777777777828e+03 4.751259999999999928e-01
3.452444444444444343e+03 4.755969999999999920e-01
3.459111111111111313e+03 4.750119999999999898e-01
3.465777777777777828e+03 4.727919999999999900e-01
3.472444444444444343e+03 4.757430000000000270e-01
3.479111111111111313e+03 4.745709999999999651e-01
3.485777777777777828e+03 4.761170000000000124e-01
3.492444444444444343e+03 4.770590000000000108e-01
3.499111111111111313e+03 4.760340000000000127e-01
3.505777777777777828e+03 4.791699999999999848e-01
3.512444444444444343e+03 4.783169999999999922e-01
3.519111111111111313e+03 4.813939999999999886e-01
3.525777777777777828e+03 4.772350000000000203e-01
3.532444444444444343e+03 4.815770000000000328e-01
3.539111111111111313e+03 4.824660000000000060e-01
3.545777777777777828e+03 4.818769999999999998e-01
3.552444444444444343e+03 4.830560000000000409e-01
3.559111111111111313e+03 4.825629999999999642e-01
3.565777777777777828e+03 4.825030000000000152e-01
3.572444444444444343e+03 4.802600000000000202e-01
3.579111111111111313e+03 4.795890000000000430e-01
3.585777777777777828e+03 4.834389999999999521e-01
3.592444444444444343e+03 4.832739999999999814e-01
3.599111111111111313e+03 4.833479999999999999e-01
3.605777777777777828e+03 4.837429999999999786e-01
3.612444444444444343e+03 4.848850000000000104e-01
3.619111111111111313e+03 4.855690000000000284e-01
3.625777777777777828e+03 4.834660000000000069e-01
3.632444444444444343e+03 4.838869999999999560e-01
3.639111111111111313e+03 4.823520000000000030e-01
3.645777777777777828e+03 4.844470000000000165e-01
3.652444444444444343e+03 4.855540000000000411e-01
3.659111111111111313e+03 4.885619999999999963e-01
3.665777777777777828e+03 4.864330000000000043e-01
3.672444444444444343e+03 4.835869999999999891e-01
3.679111111111111313e+03 4.822489999999999832e-01
3.685777777777777828e+03 4.831849999999999756e-01
3.692444444444444343e+03 4.848020000000000107e-01
3.699111111111111313e+03 4.838700000000000223e-01
3.705777777777777828e+03 4.873370000000000202e-01
3.712444444444444343e+03 4.885269999999999890e-01
3.719111111111111313e+03 4.876000000000000334e-01
3.725777777777777828e+03 4.889149999999999885e-01
3.732444444444444343e+03 4.886240000000000028e-01
3.739111111111111313e+03 4.894620000000000082e-01
3.745777777777777828e+03 4.903080000000000216e-01
3.752444444444444343e+03 4.904460000000000486e-01
3.759111111111111313e+03 4.941720000000000002e-01
3.765777777777777828e+03 4.916159999999999974e-01
3.772444444444444343e+03 4.944819999999999771e-01
3.779111111111111313e+03 4.975199999999999623e-01
3.785777777777777828e+03 4.971219999999999528e-01
3.792444444444444343e+03 4.919470000000000232e-01
3.799111111111111313e+03 4.958500000000000130e-01
3.805777777777777828e+03 4.957209999999999672e-01
3.812444444444444343e+03 4.973770000000000135e-01
3.819111111111111313e+03 4.939999999999999947e-01
3.825777777777777828e+03 4.922560000000000269e-01
3.832444444444444343e+03 4.945439999999999836e-01
3.839111111111111313e+03 4.964540000000000064e-01
3.845777777777777828e+03 4.983769999999999589e-01
3.852444444444444343e+03 4.968589999999999951e-01
3.859111111111111313e+03 4.964549999999999796e-01
3.865777777777777828e+03 4.979280000000000372e-01
3.872444444444444343e+03 4.982059999999999822e-01
3.879111111111111313e+03 4.989270000000000094e-01
3.885777777777777828e+03 4.967979999999999619e-01
3.892444444444444343e+03 4.996249999999999858e-01
3.899111111111111313e+03 5.008750000000000702e-01
3.905777777777777828e+03 4.998749999999999583e-01
3.912444444444444343e+03 5.036260000000000181e-01
